POSIX,source,app,x_x0,y_y0,t_t0
1505911737,81,2,-0.116554424712059,0.0792418812667831,0
1505913078,5,2,-0.104296600341017,-0.0861485036312073,1
1505913112,40,2,-0.0916038858781573,-0.0415866367241174,1
1505921725,52,2,0.227651983882667,0.0768473919905193,0
1505922605,77,2,-0.0594946690649799,-0.123525944024069,1
1505927886,149,2,0.0343997354738216,-0.0204799112219241,2
1505935563,23,2,-0.00994336369702102,-0.0590435520678571,0
1505938637,8,2,0.16750355493767,-0.113638074080429,2
1505939650,37,2,-0.0668125909682981,0.0176792231042456,3
1505982326,87,2,0.00999059612129024,0.222464700924183,0
1505987669,132,2,0.0592623304850764,-0.101226393230621,0
1505994681,97,2,-0.066079031997323,0.0579994280838701,0
1505995563,81,2,-0.159003461275283,-0.066378779656199,0
1506000022,68,2,0.0420638760090352,-0.147208393530212,1
1506000181,32,2,0.128904162561972,0.11732165901437,1
1506000490,124,2,0.0562892819174695,0.0224719893472279,0
1506001969,37,2,0.092925499852926,-0.0934014913422043,1
1506002074,86,2,-0.0843410144051025,-0.00361529282774934,0
1506008448,36,2,-0.0708409644082882,-0.153522709690178,1
1506012809,6,2,0.0365379438619514,-0.0664123789200925,3
1506017261,145,2,0.0715083899762119,-0.0614074001194601,2
1506019191,142,2,-0.124482699888203,0.155013874363662,0
1506023128,69,2,-0.0951493510750298,-0.167049528615274,3
1506071269,9,2,-0.0153219352276856,-0.00387688026814177,0
1506071409,76,2,-0.0196898976362412,0.0470301441676302,2
1506074325,24,2,-0.0802800886453996,-0.0671047566000896,1
1506075679,35,2,-0.0585449536951673,-0.0232849452853767,1
1506077836,43,2,-0.0168164961818373,-0.180978149099785,0
1506081197,87,2,0.0365913394279935,0.045464839897522,0
1506083347,40,2,0.19432027791252,-0.13844038935157,0
1506087336,24,2,0.0613710294398388,-0.018108930740262,0
1506093748,55,2,0.0742721376106501,-0.0526094419990709,0
1506097675,42,2,-0.0148827615392188,-0.0467487078634527,0
1506103663,152,2,0.148277595820272,0.0195285562577628,0
1506103668,45,2,0.142726960421056,-0.186410714071924,0
1506106060,65,2,0.262781648811907,-0.0489176161358337,1
1506112828,128,2,-0.0615059833174824,0.156325150311307,0
1506112931,45,2,-0.0761506239666206,-0.15335095237747,0
1506154818,26,2,-0.0324658500587141,0.141597072422765,1
1506156515,148,2,-0.0290092851047811,0.0234276893301979,0
1506165516,116,2,-0.0590408466445162,0.0260282762130631,0
1506165705,88,2,-0.0149575872536511,-0.122388172381087,1
1506174979,88,2,-0.0321146255394975,-0.0230484892670495,0
1506186105,141,2,0.0398814496678504,-0.0348648016717412,2
1506187423,120,2,-0.283152173494646,0.0641970116159685,1
1506242211,16,2,-0.06000044613896,0.0468167674902512,0
1506243291,128,2,0.0749946264182105,-0.0048547790651804,3
1506254862,153,2,-0.157870512409459,-0.132823668895149,0
1506256440,143,2,-0.0682074120750339,-0.0849414829757803,1
1506261230,64,2,-0.0474537939728174,-0.0792490544693078,0
1506270131,59,2,-0.100128543576233,-0.00643756098143363,0
1506276940,40,2,-0.0483272502576927,0.17828083825501,0
1506282926,137,2,-0.0456703911543618,-0.0946983257296697,0
1506283435,107,2,-0.254361878329353,0.0706488082560444,2
1506331712,10,2,0.0972897072375381,-0.141715500233559,0
1506340784,9,2,-0.0143137629174161,0.0180740977620726,0
1506343767,93,2,0.0968768604346652,0.00725714808747178,0
1506346163,57,2,0.0784971151288052,-0.0162671397672629,1
1506350545,19,2,0.0483920014465296,0.0669113779960466,0
1506351564,119,2,-0.0193346876278436,0.0503080826818533,0
1506352989,68,2,0.108465313398325,0.00377963980357421,1
1506357077,37,2,-0.237831110515474,0.0573533295469786,0
1506358276,37,2,-0.0406103521864146,0.064723977742572,1
1506358664,26,2,-0.0307994096869433,0.0302371640767033,0
1506359601,98,2,0.135832089772804,0.0242243945121775,0
1506362762,78,2,0.149437359973456,0.153640276219475,0
1506368787,30,2,-0.10334213770975,-0.0688643840050465,0
1506370240,121,2,-0.0652027770993148,0.161651764499379,5
1506416103,31,2,0.0167656278287206,0.136409247485812,0
1506423603,20,2,0.182119621966824,0.148314897413021,0
1506424551,77,2,-0.0850257866925438,0.115193346993845,2
1506426387,128,2,0.0117831047353216,-0.0951028294936757,0
1506429846,32,2,0.0741786212660569,-0.129986297543802,1
1506432229,106,2,-0.0331023842813903,0.224376894684165,0
1506436383,107,2,-0.00751253273505206,-0.0229501710304266,0
1506438172,49,2,0.0783914621903729,0.0156694536349918,0
1506439800,151,2,-0.0950415319309758,0.181161990948381,0
1506440873,21,2,0.0654089348353314,-0.145418034222775,1
